hepatwin_id,compound_name,dili_concern,dili_score,snapshot_at
HT0001,Abacavir sulfate,vMost-DILI-concern,0.6064105008123213,2026-08-06T02:54:52.065883+00:00
HT0002,Abaloparatide,vNo-DILI-concern,0.5284458648834817,2026-08-06T02:54:52.065883+00:00
HT0005,Abemaciclib,vLess-DILI-concern,0.6840495335387639,2026-08-06T02:54:52.065883+00:00
HT0006,Abiraterone acetate,vMost-DILI-concern,0.6622245980838901,2026-08-06T02:54:52.065883+00:00
HT0007,Acalabrutinib,Ambiguous-DILI-concern,0.6963735965173748,2026-08-06T02:54:52.065883+00:00
HT0008,Acamprosate calcium,vLess-DILI-concern,0.5615971144399242,2026-08-06T02:54:52.065883+00:00
HT0009,Acarbose,vMost-DILI-concern,0.5488659762703092,2026-08-06T02:54:52.065883+00:00
HT0010,Acebutolol hydrochloride,vLess-DILI-concern,0.5906528618098761,2026-08-06T02:54:52.065883+00:00
HT0011,Aceclofenac,vLess-DILI-concern,0.6689792382413317,2026-08-06T02:54:52.065883+00:00
HT0012,Acetaminophen,vMost-DILI-concern,0.6501328087295555,2026-08-06T02:54:52.065883+00:00
HT0013,Acetazolamide,vMost-DILI-concern,0.7044022558633198,2026-08-06T02:54:52.065883+00:00
HT0014,Acetohydroxamic acid,Ambiguous-DILI-concern,0.6083000775565583,2026-08-06T02:54:52.065883+00:00
HT0015,Acetylcholine chloride,vNo-DILI-concern,0.54447298060708,2026-08-06T02:54:52.065883+00:00
HT0016,Acetylcysteine,vNo-DILI-concern,0.5506777251239023,2026-08-06T02:54:52.065883+00:00
HT0017,Acitretin,vMost-DILI-concern,0.6797396109648826,2026-08-06T02:54:52.065883+00:00
HT0018,Acyclovir,vLess-DILI-concern,0.6124582376870406,2026-08-06T02:54:52.065883+00:00
HT0020,Adefovir dipivoxil,vLess-DILI-concern,0.590430117329128,2026-08-06T02:54:52.065883+00:00
HT0021,Adenosine,vNo-DILI-concern,0.5792469494284612,2026-08-06T02:54:52.065883+00:00
HT0022,Afatinib dimaleate,Ambiguous-DILI-concern,0.6968512704902345,2026-08-06T02:54:52.065883+00:00
HT0024,Alaproclate,vMost-DILI-concern,0.6385602137401478,2026-08-06T02:54:52.065883+00:00
HT0025,Alatrofloxacin mesylate,vMost-DILI-concern,0.6795043270768031,2026-08-06T02:54:52.065883+00:00
HT0026,Albendazole,vMost-DILI-concern,0.6814941819332119,2026-08-06T02:54:52.065883+00:00
HT0027,Albuterol,vNo-DILI-concern,0.5486890911872516,2026-08-06T02:54:52.065883+00:00
HT0028,Alclofenac,vMost-DILI-concern,0.6407299310017431,2026-08-06T02:54:52.065883+00:00
HT0030,Alectinib hydrochloride,Ambiguous-DILI-concern,0.6631604513810756,2026-08-06T02:54:52.065883+00:00
HT0032,Alendronate sodium,vLess-DILI-concern,0.5315289211556622,2026-08-06T02:54:52.065883+00:00
